Number of papers not found in Scopus = 5185

3467    7957045: (100, No references)
3050    7553862: (100, No references)
3468    7686164: (100, No references)
2217    7596406: (100, No references)
2218    7592981: (100, No references)
4299    15207008: (404, Not Found)
212    1714721: (100, No references)
1821    3021460: (100, No references)
3052    23583380: (100, No references)
1823    21695196: (404, Not Found)
213    1683630: (100, No references)
4301    1833445: (100, No references)
2245    12475894: (100, No references)
645    9043862: (100, No references)
3471    8266078: (100, No references)
3472    8266076: (100, No references)
3473    8266077: (100, No references)
4164    8402648: (100, No references)
2224    8354278: (100, No references)
2631    2159463: (100, No references)
1475    8436421: (100, No references)
3011    6816269: (100, No references)
1417    6373251: (100, No references)
2907    8289818: (100, No references)
1418    2562955: (100, No references)
1692    2387866: (100, No references)
226    12446727: (404, Not Found)
2231    2317811: (100, No references)
606    2247079: (100, No references)
618    8188704: (100, No references)
3063    7851406: (100, No references)
1004    1409633: (100, No references)
4311    8592474: (100, No references)
1421    8441384: (100, No references)
2643    23893049: (404, Not Found)
2699    3458221: (100, No references)
2322    1854805: (100, No references)
2645    16478720: (404, Not Found)
233    3709805: (100, No references)
4312    22479637: (404, Not Found)
622    8944033: (100, No references)
2233    7796396: (100, No references)
1010    8413205: (100, No references)
750    7490069: (100, No references)
4314    12839489: (404, Not Found)
286    14719143: (100, No references)
1892    24211834: (404, Not Found)
1844    1560006: (100, No references)
3073    2261637: (100, No references)
2983    3553851: (100, No references)
2652    7513050: (100, No references)
3231    2584224: (100, No references)
3079    2846586: (100, No references)
2235    210175: (100, No references)
2236    210174: (100, No references)
781    7859737: (100, No references)
2237    1660465: (100, No references)
682    6693501: (100, No references)
3494    3202857: (100, No references)
630    7507869: (100, No references)
1433    8440384: (100, No references)
2658    2263636: (100, No references)
3084    2563370: (100, No references)
3085    2563376: (100, No references)
634    7639683: (100, No references)
2410    7028111: (100, No references)
3032    7641693: (100, No references)
636    1732409: (100, No references)
255    7797556: (100, No references)
640    2030914: (100, No references)
831    8307176: (100, No references)
3806    7921596: (100, No references)
257    2536365: (100, No references)
642    4814727: (100, No references)
1349    17255105: (404, Not Found)
258    24140062: (404, Not Found)
3835    16790527: (100, No references)
288    18252226: (404, Not Found)
3502    2037562: (100, No references)
646    2099832: (100, No references)
2671    23999430: (404, Not Found)
