Number of papers not found in Scopus = 2228

494    7957045: (100, No references)
3109    15207008: (404, Not Found)
505    22442258: (100, No references)
506    17255527: (404, Not Found)
953    4269479: (100, No references)
513    15289441: (100, No references)
518    8224906: (100, No references)
1810    1378867: (100, No references)
520    8224904: (100, No references)
524    17611704: (404, Not Found)
526    8282051: (100, No references)
528    869894: (100, No references)
3135    8031839: (100, No references)
3136    16885222: (404, Not Found)
534    7531804: (100, No references)
3139    8119964: (100, No references)
673    8139551: (100, No references)
1834    13837681: (404, Not Found)
2635    1820020: (100, No references)
564    7585606: (100, No references)
3111    8463278: (100, No references)
3112    11739641: (404, Not Found)
1861    1113502: (100, No references)
1863    16556852: (404, Not Found)
2218    7602121: (100, No references)
2229    8019949: (100, No references)
1878    7635187: (100, No references)
1882    1482371: (100, No references)
1883    8749713: (100, No references)
2362    1959648: (100, No references)
603    8090202: (100, No references)
1064    1496008: (100, No references)
2407    10811223: (100, No references)
3205    8314082: (100, No references)
611    21976599: (100, No references)
612    7683413: (100, No references)
613    8405064: (100, No references)
1604    2731651: (100, No references)
2784    18207576: (100, No references)
2863    7805640: (100, No references)
623    2648130: (100, No references)
624    19242543: (404, Not Found)
1910    1759682: (100, No references)
2534    13336002: (404, Not Found)
633    7621815: (100, No references)
3231    21247419: (404, Not Found)
3235    8464890: (100, No references)
1918    7891723: (100, No references)
3244    7954428: (100, No references)
652    20463296: (404, Not Found)
3250    18495661: (404, Not Found)
654    23139803: (100, No references)
3252    1565842: (100, No references)
1937    7590241: (100, No references)
1938    8134355: (100, No references)
3257    7636227: (100, No references)
668    7595494: (100, No references)
3263    5795329: (100, No references)
1952    1588441: (100, No references)
1595    9003415: (100, No references)
429    8301134: (100, No references)
681    7546744: (100, No references)
3276    1486501: (100, No references)
216    12738806: (100, No references)
3186    19251704: (404, Not Found)
690    8174230: (100, No references)
692    7720715: (100, No references)
694    7720710: (100, No references)
1971    22102906: (404, Not Found)
698    19004860: (404, Not Found)
300    20711475: (100, No references)
1980    7679955: (100, No references)
706    7595148: (100, No references)
1982    20153262: (100, No references)
1983    11328962: (100, No references)
1992    8418208: (100, No references)
3035    9932423: (100, No references)
1996    7565620: (100, No references)
3358    2823118: (100, No references)
3316    22387195: (404, Not Found)
316    1339452: (100, No references)
730    7904615: (100, No references)
3337    18001149: (100, No references)
2030    23890175: (404, Not Found)
2033    8325640: (100, No references)
774    8409377: (100, No references)
2039    1541640: (100, No references)
2042    7623109: (100, No references)
765    7924997: (100, No references)
778    7857673: (100, No references)
3371    8188695: (100, No references)
3375    8395349: (100, No references)
2058    18097059: (404, Not Found)
2059    8269513: (100, No references)
2062    22363685: (404, Not Found)
2066    7828830: (100, No references)
882    19131575: (404, Not Found)
2072    1292752: (100, No references)
3399    1008807: (100, No references)
937    7590232: (100, No references)
802    8188282: (100, No references)
2091    7834748: (100, No references)
3416    3266596: (100, No references)
3420    1634998: (100, No references)
2096    7834747: (100, No references)
2097    18198354: (100, No references)
820    15608632: (404, Not Found)
3432    6321299: (100, No references)
3443    8562500: (100, No references)
1249    8747922: (100, No references)
3448    1618338: (100, No references)
2780    9699561: (100, No references)
3452    7844141: (100, No references)
3455    7749983: (100, No references)
1323    22438827: (404, Not Found)
1337    12019265: (100, No references)
2153    23351563: (404, Not Found)
875    2161540: (100, No references)
880    8233567: (100, No references)
2540    8016065: (100, No references)
2748    19506089: (404, Not Found)
2185    1643657: (100, No references)
895    15199055: (404, Not Found)
897    22162999: (404, Not Found)
2193    12473665: (404, Not Found)
2195    7598723: (100, No references)
3006    7555718: (100, No references)
2199    17357106: (404, Not Found)
2203    12477715: (404, Not Found)
2363    1663002: (100, No references)
1747    1431100: (100, No references)
1762    7916601: (100, No references)
2212    1980140: (100, No references)
2213    1909605: (100, No references)
2220    8226976: (100, No references)
2225    1533862: (100, No references)
2089    2493384: (100, No references)
2241    1317267: (100, No references)
2154    8260598: (100, No references)
141    24367518: (404, Not Found)
1272    2890554: (100, No references)
974    8582325: (100, No references)
264    1923796: (100, No references)
2112    1385153: (100, No references)
1448    18316482: (100, No references)
2170    16433929: (100, No references)
2150    6315706: (100, No references)
2296    1371749: (100, No references)
1898    7704020: (100, No references)
1016    8022486: (100, No references)
2315    1375672: (100, No references)
2320    8135813: (100, No references)
1051    20711465: (404, Not Found)
2183    18331720: (100, No references)
1055    7730318: (100, No references)
1056    15381686: (404, Not Found)
1057    8388780: (100, No references)
2365    12804600: (404, Not Found)
2374    22164254: (404, Not Found)
1087    16121256: (100, No references)
73    7958874: (100, No references)
2389    7809078: (100, No references)
2137    16304607: (100, No references)
2396    12419962: (404, Not Found)
2401    8918878: (100, No references)
1116    807277: (100, No references)
368    20882308: (100, No references)
2683    2062642: (100, No references)
2421    20421979: (404, Not Found)
776    12226710: (404, Not Found)
1127    7493967: (100, No references)
1131    2153173: (100, No references)
2435    7846065: (100, No references)
2423    8751592: (100, No references)
2656    8007964: (100, No references)
2447    9207797: (100, No references)
1147    10051594: (100, No references)
447    18213582: (100, No references)
2451    7929150: (100, No references)
699    7503932: (100, No references)
259    4818266: (100, No references)
2467    16855091: (404, Not Found)
3187    8821035: (100, No references)
3200    8119883: (100, No references)
670    7936655: (100, No references)
2481    21148126: (404, Not Found)
2949    7683393: (100, No references)
2496    16246260: (404, Not Found)
2501    6542992: (100, No references)
1212    1952600: (100, No references)
1214    7832766: (100, No references)
489    7741753: (100, No references)
2519    6863890: (100, No references)
1222    7317942: (100, No references)
2087    8254366: (100, No references)
2665    2834198: (100, No references)
1244    9238094: (100, No references)
1137    7791755: (100, No references)
1254    11072088: (100, No references)
1255    7902581: (100, No references)
1257    1821847: (100, No references)
2831    7477299: (100, No references)
2575    6643987: (100, No references)
1275    7600302: (100, No references)
2581    22078707: (100, No references)
1279    7890676: (100, No references)
1328    8261138: (100, No references)
2598    7720565: (100, No references)
1303    7930593: (100, No references)
1304    8104708: (100, No references)
1310    8089187: (100, No references)
1491    7774816: (100, No references)
2617    4697831: (100, No references)
1074    1591350: (100, No references)
3459    19966784: (100, No references)
2622    7953633: (100, No references)
2850    7965099: (100, No references)
399    4084216: (100, No references)
2626    22089168: (404, Not Found)
2252    19654421: (404, Not Found)
1334    16174787: (100, No references)
1339    8372353: (100, No references)
2643    1280217: (100, No references)
1350    15972105: (404, Not Found)
34    21966449: (404, Not Found)
2663    7929437: (100, No references)
1367    7529876: (100, No references)
1371    7529871: (100, No references)
2671    6363792: (100, No references)
1381    5367369: (100, No references)
57    12515806: (404, Not Found)
2684    3676400: (100, No references)
70    17975067: (404, Not Found)
2692    16723493: (404, Not Found)
1920    9500551: (100, No references)
76    13950100: (404, Not Found)
2167    8215422: (100, No references)
2700    7444718: (100, No references)
2378    11726526: (404, Not Found)
2082    19923449: (404, Not Found)
2110    16462943: (100, No references)
1423    9617549: (100, No references)
1426    7889986: (100, No references)
2180    7782346: (100, No references)
113    7723632: (100, No references)
2207    8155735: (100, No references)
1438    5764873: (100, No references)
2737    18600476: (404, Not Found)
2740    16469767: (404, Not Found)
2741    8543060: (100, No references)
2744    8080725: (100, No references)
2289    7958869: (100, No references)
2747    7547473: (100, No references)
1455    5559967: (100, No references)
2327    2980124: (100, No references)
152    5041196: (100, No references)
2457    8824711: (100, No references)
1196    8607965: (100, No references)
1479    17803360: (100, No references)
1490    19329817: (404, Not Found)
177    8387379: (100, No references)
2805    7958910: (100, No references)
183    2017177: (100, No references)
2697    18188704: (100, No references)
2820    19657017: (404, Not Found)
2770    7555927: (100, No references)
208    7575502: (100, No references)
1531    14654243: (404, Not Found)
2869    405846: (100, No references)
1550    7961644: (100, No references)
230    8218401: (100, No references)
2846    1731775: (100, No references)
235    7797522: (100, No references)
687    12738802: (100, No references)
2555    196814: (100, No references)
2853    2693209: (100, No references)
241    2513223: (100, No references)
2009    10823942: (100, No references)
250    3243423: (100, No references)
1566    8384837: (100, No references)
2865    7505204: (100, No references)
261    11604102: (404, Not Found)
1574    20805985: (404, Not Found)
2874    7889942: (100, No references)
1580    8040371: (100, No references)
266    18256040: (100, No references)
3148    9861026: (100, No references)
268    17500595: (100, No references)
1585    8133891: (100, No references)
1589    21966409: (404, Not Found)
2887    7621877: (100, No references)
3184    10611155: (100, No references)
283    18297060: (100, No references)
284    12042313: (100, No references)
3298    1830926: (100, No references)
287    18297068: (100, No references)
1606    8448182: (100, No references)
2899    20230755: (100, No references)
291    8145052: (100, No references)
3272    7610888: (404, Not Found)
2906    12175868: (404, Not Found)
2911    109081: (100, No references)
301    7592783: (100, No references)
722    7550317: (100, No references)
2912    6251472: (100, No references)
2913    7927664: (100, No references)
741    7700379: (100, No references)
1626    4634048: (100, No references)
1627    8406478: (100, No references)
2932    21370995: (404, Not Found)
1635    16282525: (404, Not Found)
459    6501560: (100, No references)
329    12590135: (404, Not Found)
334    1383204: (100, No references)
240    3079912: (100, No references)
2948    7522233: (100, No references)
341    7605630: (100, No references)
1656    7721815: (100, No references)
349    7715703: (100, No references)
352    1372434: (100, No references)
1675    7439685: (100, No references)
366    19806181: (404, Not Found)
2977    1302015: (100, No references)
2979    10518565: (100, No references)
1687    8274135: (100, No references)
2986    7562514: (100, No references)
1696    4646763: (100, No references)
1259    10655502: (100, No references)
3001    7665913: (100, No references)
388    6550027: (100, No references)
1707    7929134: (100, No references)
1293    24282027: (404, Not Found)
717    1533274: (100, No references)
398    2190691: (100, No references)
3015    7026729: (100, No references)
1329    8098731: (100, No references)
402    9892651: (100, No references)
3020    7629182: (100, No references)
1719    8421714: (100, No references)
1720    7889570: (100, No references)
3028    8394755: (100, No references)
3031    17511: (100, No references)
865    1683482: (100, No references)
3040    21151568: (404, Not Found)
801    1353982: (100, No references)
1581    1936982: (100, No references)
450    14514678: (100, No references)
1758    1663214: (100, No references)
1888    12489152: (404, Not Found)
1770    591875: (100, No references)
1775    15831789: (404, Not Found)
1781    7985028: (100, No references)
480    11344116: (100, No references)
481    23749757: (404, Not Found)
1702    1323011: (100, No references)
3097    2960971: (100, No references)
2237    7668363: (100, No references)
925    2558488: (100, No references)
926    8007983: (100, No references)
2244    7664803: (100, No references)
250    23835476: (404, Not Found)
1982    11197776: (100, No references)
2250    2328987: (100, No references)
3115    9391078: (100, No references)
951    1505025: (100, No references)
952    1505026: (100, No references)
953    7925842: (100, No references)
3141    7773507: (100, No references)
1173    18443287: (404, Not Found)
2279    15207857: (404, Not Found)
550    7626590: (100, No references)
2293    7506729: (100, No references)
2294    7555726: (100, No references)
2299    8582267: (100, No references)
2302    4693062: (100, No references)
996    16371425: (100, No references)
2823    7743923: (100, No references)
3002    8541302: (100, No references)
1375    7958450: (100, No references)
2316    7954836: (100, No references)
2261    6977094: (100, No references)
1009    22638570: (100, No references)
1022    7919361: (100, No references)
1583    11297552: (404, Not Found)
2345    5037658: (100, No references)
2353    7670465: (100, No references)
