Link,PubMed ID
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017184389&partnerID=40&md5=6766d76cd373148e33afc2ef8370a1b6",942051
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0014949207&partnerID=40&md5=697a4c75c5848da398fa19cc324a2a88",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-71849104860&partnerID=40&md5=431e95ef0d539b636c2ee35d67d913ec",14907713
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023277545&partnerID=40&md5=f405447b582c3c7b2d36e7b0b368e11a",2440339
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027968068&partnerID=40&md5=8068e3ab74fc44805670359e4d015f63",7984417
"http://www.scopus.com/inward/record.url?eid=2-s2.0-37549039510&partnerID=40&md5=bb0f904f57f7e8e8765328ccba5743c7",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030801002&partnerID=40&md5=4ae6f24143e15f156746ef810464d33b",9254694
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025183708&partnerID=40&md5=3dfea4483e209088f8490f9dfacb521a",2231712
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023375195&partnerID=40&md5=0266231411e31b134ad87df95b7e0ff4",3447015
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035710746&partnerID=40&md5=1989d15012db1b7616667232e06bbf50",11846609
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031059866&partnerID=40&md5=c1ab2e44a90a32c3a0748d138c2658a9",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031574072&partnerID=40&md5=90f7cf7895aa1c70f72c961af0610f72",9396791
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017681196&partnerID=40&md5=a5cc481317e28150ec19ea6329b7772b",271968
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0009482260&partnerID=40&md5=cb433627f715365199a47456aeee7aef",388439
,
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845261493&partnerID=40&md5=ca618bca50bb94dcd165adba2caa170c",13671378
"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547781750&partnerID=40&md5=5509cba938a801b4cdb7474bf22677f4",17488738
"http://www.scopus.com/inward/record.url?eid=2-s2.0-3543012707&partnerID=40&md5=d49911c23224c26121a6bda91adb5f19",9757107
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028103275&partnerID=40&md5=d7d4fbc40dbecac31107b63e9da3fb5c",
,
,
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0004016501&partnerID=40&md5=40f15d4d1d402ad4558e5826f188df6e",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0041386108&partnerID=40&md5=f4e91b29c5c11ce9435111d43671da8d",12912839
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022186670&partnerID=40&md5=0018bcd539d0c1abf5065a42cd20b4b5",3843705
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034849408&partnerID=40&md5=7fa16c300ae281882275dbe7b9dafa49",11524383
"http://www.scopus.com/inward/record.url?eid=2-s2.0-13244281317&partnerID=40&md5=3a2e65dd374f8983125ad64a21ece151",
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030924992&partnerID=40&md5=d5bedd32b4f79a427157ea77a2c8f483",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032441150&partnerID=40&md5=70633f1e7ee116b00fce834ae1d1f763",9843981
"http://www.scopus.com/inward/record.url?eid=2-s2.0-3242810318&partnerID=40&md5=fcf31595165294c8db0a4ac2d1b074ca",15260895
"http://www.scopus.com/inward/record.url?eid=2-s2.0-17344392308&partnerID=40&md5=55f0a2af888064d6472b6b5975beec65",11328886
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0347444723&partnerID=40&md5=d03a41186826245e4691d3b6d7702eb9",14744438
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020475449&partnerID=40&md5=bbdc6beb9f1f563ee3a0b356ea35d1f0",7108955
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034069495&partnerID=40&md5=86f789ec8b08af195dae31978846906c",10802651
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015383455&partnerID=40&md5=589b9a96b550644db8c14a087a05f247",4561027
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028139089&partnerID=40&md5=35088d7cfe24d2903aa7f1256471cb94",7984236
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030203863&partnerID=40&md5=475f0ae99f4f16ae68bd5703f4c49e6a",8902363
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023472472&partnerID=40&md5=3570bb73ee5ea02350f7cec6c02a0921",2449095
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029011701&partnerID=40&md5=924f0f9fcd3d1d48bd39720c91b8ce3e",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035895505&partnerID=40&md5=bfc150c27da4a0bbabbb43dcdaa497a1",11181995
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242578620&partnerID=40&md5=67a0eb0782d3d1371fe46c21ca46b496",14530136
"http://www.scopus.com/inward/record.url?eid=2-s2.0-36448991500&partnerID=40&md5=8b0085228fb8f6e76ce15db44878bace",17846036
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032545933&partnerID=40&md5=01e928e51a74ae1d4f614a99783ad479",9486653
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020997912&partnerID=40&md5=008977840dc49c31d43c8af69d512593",6667333
